"TOPIOL","Belgium"
"MEYUCHAS","ISRAEL"
"Jonsson","REYKJAVIKUR"
"Mu SY","Dong Qi 9"
"Labaere A","BEL"
"WOOLSEY","ROBINSON"
"EGGELING","GERMANY"
"Coraducci","Bologna"
"David Gold","England"
"McGARRY","SULGROVE"
"LIU Yi Qia","CHINA"
"FANTONI","I"
"Wang HT","Jin Mei"
"Lilo P","European Mixed"
"A.Bach","New Zealand"
"S Mina","Egypt"
"FAILLA","SABBATINI"
"Wortel","Modalfa/UMW"
"S DATTA","BIMAL SICKA"
"MATHESON","Scotland"
"Nunes","Angelini TCP - Bove"
"NOSATZKI","ISRAEL"
"Kalita","Poland"
"P. Hackett","Fharon"
"Timlin","Holders (ROI)"
"STAMATOV","Titan"
"Sung Kyung","KOREA Happy Bridge"
"Furuta Kaz","Japan"
"fmurielh","FJU"
"GUNEV","K1 BULGARIA"
"Andreev V","Team 1"
"Zhuravel","Lithuania"
"P. Huang","AIA"
"C Gregory","X - Men"
"Brink","Modalfa"
"Tifous","Uccle"
"TOTARO","PADOVA BR. S.S."
"Weinstein","WELLAND"
"C. Arnolds","Netherlands"
"Piedra","DUROS"
"K.Leung","China Hongkong"
"RAMADI","WEST BORNEO"
"Guitta","Lasserre"
"Devlin","NIreland"
"Krochmalik","Wyer"
"Gertsman","Harris"
"Weinstein","O'Rourke"
"MAHMOOD Zi","USA 2"
"Geare","Newell"
"R M Soares","M Teixeira"
"Krupowicz","POLAND"
"Lu","CHINA LADIES"
"Vriend B","Netherlands"
"Hop","Netherlands B"
"Nakamura","JAPAN - YOI"
"Sprung","Sprung"
"UPMARK. J","SWEDEN"
"Winestock","Chan"
"T.Waterlow","Waterlow"
"S.Vallapa","Thailand"
"Zhuravel","ERIC"
"AGARWAL R ","Tolani Shipping"
"Fallenius","Welland "
"ZACK","Bareket "
"MINA","REGGIO EMILIA"
"KUJAWA","Pietraszek"
"Samuel Wan","China Hongkong"
"BRAMBILLA","POZZI"
"Winanto","Bisma Semarang"
"Tyla","LITHUANIA"
"Sowter","Sowter"
"K. BERTHEA","Sweden"
"Vilhjalmss","NC ISLANDE"
"J. Lindste","Lindstedt"
"Quantin","Zimmermann"
"Meuer","GERMANY"
"SMITH","CANADA"
"Vlaxou","Karamanli"
"Sztyrak","SARNIAK"
"Simons A","Netherlands"
"K. Kodaira","Kacho Fugetsu"
"Magnani","San Giorgio Del San"
"Blagov","Canada"
"griffiths","NSW"
